THE ULTIMATE VALIDATOR — User Wants vs Plan vs Implementation							
"Every explicit user requirement extracted from the Claude conversations, validated against plan and code"							
							
#	User Want (Exact Quote / Paraphrase)	Source Context	In Plan?	Implemented?	Status	Drift / Side-Track Risk	Evidence / Notes
W-16	"Left panel not cramped — items properly spaced, not squished"	User complaint Apr 4	YES — Phase C	NOT STARTED	FAIL	Still 3 crammed collapsible sections in 200px	User explicitly complained about this. Phase C (left panel restructure to 2-tab layout) is planned but not started. This was identified as 'most impactful remaining UI fix'.
W-17	Real Settings dialog (not messagebox stubs)	Implied by premium feel + Ashisoft parity	YES — R-15	NOT STARTED	FAIL	Settings and Help still use messagebox.showinfo stubs	"User wanted premium app feel. messagebox.showinfo stubs are developer-level placeholders, not acceptable for a premium app. No real Settings dialog exists yet."
W-18	Internal metrics and history (not export)	Planning Q9	YES — R-16	NOT STARTED	FAIL	No scan history dialog exists	User said 'only internal metrics and history'. No history dialog has been built. This is a direct user requirement with zero implementation.
W-19	Fast scanning — Czkawka-level performance via multithreading	Planning Q6 + feature research	YES — Phase 0	PARTIAL	WARN	ProcessPoolExecutor exists in image engine but not verified; no adaptive sizing; no benchmarks	The research phase identified multithreading as critical (Czkawka 8s vs dupeGuru 22s for 4.1GB). image_dedup_engine has ProcessPoolExecutor. But there are no performance benchmarks confirming we meet the target. No adaptive thread pool sizing.
W-20	"Support for 60+ formats including RAW (CR2, NEF, ARW) and HEIC"	Feature research (Ashisoft comparison)	YES — Phase 3.2	DONE	PASS	Format registry exists with pillow-heif and rawpy	"JPG, PNG, GIF, BMP, TIFF, WebP, HEIC (pillow-heif), RAW (rawpy) all supported. Format registry implemented."
W-21	Near-instant re-scans via hash caching across sessions	Feature research + Phase 0	YES — Phase 0.3	DONE	PASS	SQLite-backed hash cache operational	"hash_cache.py stores (file_path, mtime, size, hash_value). Re-scans skip unchanged files. Working."
W-22	Auto-mark all but one per duplicate group for easy deletion	Ashisoft feature comparison	"YES — Phase 3.6, 6.2"	PARTIAL	WARN	"Only basic rules work; user's specific criteria (highest res, largest size) partially implemented"	Ashisoft's key UX feature. Partially working but needs full 10-rule implementation (R-13).
W-23	Reference/protect folder system — protect certain folders from deletion	Feature research (Ashisoft)	YES — Phase C (Protect tab)	NOT STARTED	FAIL	Protect Folders planned as part of left panel 2-tab layout but not built	Ashisoft has a 'Protect Folders' feature. Planned as Phase C left panel restructure (2nd tab). Zero implementation.
W-24	Preview-before-delete with confirmation dialog	Feature research (safety)	YES — Phase A1	DONE	PASS	Confirmation dialog with space-to-be-recovered summary exists	send2trash integration includes confirmation dialog. Working.
W-25	Drag-and-drop folders from Explorer into the app	Feature research (Ashisoft UX)	YES — Phase 6.3	NOT STARTED	FAIL	Planned but not implemented	Ashisoft supports drag-and-drop. Planned as R-18 but zero implementation.
W-26	Keyboard shortcuts for common actions	Feature research (premium feel)	YES — Phase 6.4	NOT STARTED	FAIL	Planned but not implemented	"Ctrl+O, Ctrl+Enter, Del, Space, etc. Planned as R-18 but zero implementation."
W-27	"Remember window size, position, panel proportions, last folders between sessions"	Feature research (premium feel)	YES — Phase 6.5	NOT STARTED	FAIL	Planned but not implemented	Premium apps remember their state. Planned as R-17 but zero implementation.
W-28	Undo/restore recently deleted files	Feature research (safety)	YES — Phase 6.6	NOT STARTED	FAIL	Planned but not implemented	Ashisoft has undo capability. Planned as R-14 but zero implementation.
W-29	"Preview panel should show image preview for images, metadata for non-image files"	Implied by side-by-side + Ashisoft	YES — Phase E	NOT STARTED	FAIL	"Preview panel exists but needs rewrite — collapsed default, context-sensitive"	Current preview panel has Keep A/B buttons user never asked for. Phase E will fix this but hasn't started.
W-30	"No splash screen, no onboarding — open app and immediately see working interface"	Ashisoft UI model + user premium feel request	YES — Phase 1 (rev.)	DONE	PASS	Single window opens directly to working interface	"User wanted premium feel, not webpage-like onboarding. Single persistent window with no welcome/splash screen. Correctly done."
W-31	"Filter results by type (All, Images, Videos, Documents, Audio) post-scan"	Ashisoft feature comparison	YES — Phase B2	DONE	PASS	Filter tabs inside results panel with counts	Sub-tabs visible post-scan with counts per type. Working after wiring fix.
W-32	"Result columns: name, extension, size, modified date, similarity %, path"	Ashisoft feature comparison	YES — Phase A2	DONE	PASS	CheckTreeview with sortable columns implemented	"ttk.Treeview with grouped rows, checkboxes, sortable columns, alternating row colors. Working."
W-33	"Right-click context menu on results (Open File, Open Folder, Copy Path, Select Group, Properties)"	Ashisoft feature + Phase 6.8	YES — Phase 6.8	PARTIAL	WARN	"Basic context menu exists (Open File, Open Folder, Copy Path) but missing Select Group + Properties"	Partial implementation. Needs R-18 completion.
W-34	"Status bar showing: files scanned, duplicates found, groups found, reclaimable space, elapsed time"	Ashisoft feature comparison	YES — Phase 1.8	DONE	PASS	status_bar.py with live counters	Bottom strip with live scan progress and counters. Working.
W-35	"Pre-scan: clear 'getting started' state, not blank/broken-looking area"	Ashisoft UX + user complaint	YES — Phase D1	NOT STARTED	FAIL	Current blank area looks like a broken app	User later complained about blank content area. Phase D planned to fix with 'Add folders and click Search Now' with numbered steps. Zero implementation.
W-36	During scan: progress bar + filename + live counters in the results area	Ashisoft UX + user complaint	YES — Phase D2	NOT STARTED	FAIL	No visual feedback during active scan in results area	Premium apps show what they're doing. Phase D2 planned but zero implementation.
W-37	Dry run mode — show what would be deleted without actually deleting	Feature research (safety best practice)	NOT IN PLAN	NOT STARTED	SIDETRACK	Was mentioned in Phase 5 (original) as 'premium polish' item but dropped in v2 plan revision	The original Phase 5 included 'Dry run mode: show what would be deleted without actually deleting'. This was dropped when the plan was reorganized into v2 Phases 0-6. This is a FEATURE GAP — a standard safety feature that was lost during plan restructuring.
W-38	Hard link replacement — deduplicate on disk but keep all paths accessible	Feature research (safety — Ashisoft/dupeGuru)	NOT IN PLAN	NOT STARTED	SIDETRACK	Was in feature research as 'best tool' feature but never made it into any phase plan	Czkawka and dupeGuru both offer hard link replacement. This was identified in the comprehensive feature map but never planned. User said 'Both — Czkawka speed with Ashisoft features' — this is a missing feature from the Czkawka feature set.
W-39	Background pre-scanning when idle — pre-hash files for instant next scan	Feature research (premium polish Phase 5 orig.)	NOT IN PLAN	NOT STARTED	SIDETRACK	Was in original Phase 5 premium polish but dropped in plan restructuring	Another feature from the original Phase 5 that was lost. Would make the app feel truly premium — next scan is instant because files were pre-hashed during idle time.
W-40	Memory-mapped file reading for large files (>100MB) using mmap	Feature research (performance Phase 5 orig.)	NOT IN PLAN	NOT STARTED	SIDETRACK	Was in original Phase 5 performance polish but dropped in plan restructuring	Performance optimization for large files. User wanted Czkawka speed. This was planned but lost.
W-41	Quarantine folder workflow — move deleted files to quarantine before permanent removal	Feature research (safety — Ashisoft)	NOT IN PLAN	NOT STARTED	SIDETRACK	Identified in feature research but never planned	Ashisoft offers quarantine. Only send2trash was implemented. Quarantine is an additional safety layer.
W-42	EXIF timestamp-based photo grouping (burst mode detection)	Feature research (media-aware dedup)	NOT IN PLAN	NOT STARTED	SIDETRACK	Identified in comprehensive feature map but never made it to a phase	The feature map listed 'EXIF timestamp-based photo grouping' as part of media-aware dedup Tier 2. This would detect burst-mode photo sequences. Not planned despite being in the original research scope.
W-43	User-configurable similarity threshold for perceptual image matching	Feature research (Ashisoft: deep customization of scan parameters)	YES — Phase 3 (scan options)	UNCLEAR	WARN	Scan options exist in UI but it's unclear if similarity threshold slider is functional	Ashisoft's key differentiator: 'Deep customization of scan parameters'. User wanted Ashisoft features. The similarity threshold (Hamming distance) needs to be user-adjustable. Needs verification.
W-44	Results displayed as groups with similarity percentage per group	Feature research (UI/UX winners)	"YES — Phase A2, 3.3"	DONE	PASS	Union-Find clustering + grouped Treeview with similarity %	Duplicate clusters displayed with similarity percentages. Working.
							
VALIDATION SUMMARY							
Total User Wants Tracked	44						
PASS (Correctly implemented)	14	"User want addressed, working correctly"					
WARN (Partially done / unverified)	9	Some implementation exists but incomplete or untested					
FAIL (Not started / missing)	13	User want has zero implementation or plan gap					
DRIFT (Implementation drifted from user intent)	2	Work was done but didn't match what user actually wanted					
SIDETRACK (Features lost during plan restructuring)	0	Was in original feature research/plan but dropped during revision					
Not in Plan at all	6	Never made it into any phase — completely missed					
